Timestamp,Saree ID,Material Type,Check Location,Light Reflection Reading,Light Transmittance Reading,Final Saree Status
2025-12-01 10:05:00,SK050,Cotton,Center,73.6,36.8,0
2025-12-01 10:06:00,SK051,Silk,Edge,81.1,41.2,1
2025-12-01 10:07:00,SK052,Synthetic,Fold,58.3,29.2,0
2025-12-01 10:08:00,SK053,Cotton,Center,72.7,36.4,0
2025-12-01 10:09:00,SK054,Silk,Edge,80.3,40.5,1
2025-12-01 10:10:00,SK055,Synthetic,Fold,57.5,28.8,0
2025-12-01 10:11:00,SK056,Cotton,Center,74.1,37.1,0
2025-12-01 10:12:00,SK057,Silk,Edge,81.4,41.4,1
2025-12-01 10:13:00,SK058,Synthetic,Fold,56.6,28.3,0
2025-12-01 10:14:00,SK059,Cotton,Center,73.2,36.6,0
2025-12-01 10:15:00,SK060,Silk,Edge,80.6,40.8,1
2025-12-01 10:16:00,SK061,Synthetic,Fold,58.7,29.4,0
2025-12-01 10:17:00,SK062,Cotton,Center,72.5,36.3,0
2025-12-01 10:18:00,SK063,Silk,Edge,79.7,40.2,1
2025-12-01 10:19:00,SK064,Synthetic,Fold,57.9,29.0,0
2025-12-01 10:20:00,SK065,Cotton,Center,74.4,37.2,0
2025-12-01 10:21:00,SK066,Silk,Edge,81.6,41.5,1
2025-12-01 10:22:00,SK067,Synthetic,Fold,56.3,28.2,0
2025-12-01 10:23:00,SK068,Cotton,Center,73.4,36.7,0
2025-12-01 10:24:00,SK069,Silk,Edge,80.7,40.9,1
2025-12-01 10:25:00,SK070,Synthetic,Fold,58.4,29.2,0
2025-12-01 10:26:00,SK071,Cotton,Center,72.9,36.5,0
2025-12-01 10:27:00,SK072,Silk,Edge,81.3,41.3,1
2025-12-01 10:28:00,SK073,Synthetic,Fold,57.2,28.6,0
2025-12-01 10:29:00,SK074,Cotton,Center,74.0,37.0,0
2025-12-01 10:30:00,SK075,Silk,Edge,80.4,40.6,1
2025-12-01 10:31:00,SK076,Synthetic,Fold,56.7,28.4,0
2025-12-01 10:32:00,SK077,Cotton,Center,73.7,36.9,0
2025-12-01 10:33:00,SK078,Silk,Edge,81.7,41.6,1
2025-12-01 10:34:00,SK079,Synthetic,Fold,58.6,29.3,0
2025-12-01 10:35:00,SK080,Cotton,Center,72.3,36.2,0
2025-12-01 10:36:00,SK081,Silk,Edge,79.6,40.3,1
2025-12-01 10:37:00,SK082,Synthetic,Fold,57.6,28.8,0
2025-12-01 10:38:00,SK083,Cotton,Center,74.6,37.3,0
2025-12-01 10:39:00,SK084,Silk,Edge,80.8,41.0,1
2025-12-01 10:40:00,SK085,Synthetic,Fold,56.4,28.2,0
2025-12-01 10:41:00,SK086,Cotton,Center,73.0,36.5,0
2025-12-01 10:42:00,SK087,Silk,Edge,81.9,41.7,1
2025-12-01 10:43:00,SK088,Synthetic,Fold,58.1,29.1,0
2025-12-01 10:44:00,SK089,Cotton,Center,72.0,36.0,0
2025-12-01 10:45:00,SK090,Silk,Edge,80.0,40.2,1
2025-12-01 10:46:00,SK091,Synthetic,Fold,57.7,28.9,0
2025-12-01 10:47:00,SK092,Cotton,Center,74.7,37.4,0
2025-12-01 10:48:00,SK093,Silk,Edge,81.0,41.1,1
2025-12-01 10:49:00,SK094,Synthetic,Fold,56.1,28.1,0
2025-12-01 10:50:00,SK095,Cotton,Center,73.5,36.8,0
2025-12-01 10:51:00,SK096,Silk,Edge,80.2,40.4,1
2025-12-01 10:52:00,SK097,Synthetic,Fold,58.8,29.4,0
2025-12-01 10:53:00,SK098,Cotton,Center,72.8,36.4,0
2025-12-01 10:54:00,SK099,Silk,Edge,79.8,40.1,1
2025-12-01 10:55:00,SK100,Synthetic,Fold,57.4,28.7,0
